build_id,class,weapon,archetype,variant,primary_family,family_ids,roll_profile,total_hp,ehp,ehp_no_agi,hpr,ehpr,defense_pct,agility_pct,earth_defense,thunder_defense,water_defense,fire_defense,air_defense,hpr_raw,hpr_pct,ls,effective_ls,life_per_hit,mr,total_mr,ms,mana_per_hit,max_mana_bonus,total_mana,walk_speed,attack_tier,attack_speed_base,attack_speed_final,attacks_per_second,poison,heal_pct,main_attack_range_pct,main_attack_range_blocks,main_attack_dps,spell_1_display_avg,spell_2_display_avg,spell_3_display_avg,spell_4_display_avg,spell_display_avg_max,spell_display_avg_sum,spell_1_cost,spell_2_cost,spell_3_cost,spell_4_cost,skill_points_assigned,strength,dexterity,intelligence,defense,agility,md_pct,md_raw,sd_pct,sd_raw,damage_pct,damage_raw,source_url
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,non_crafted,family_unclassified,[],median,15935,14916.4866,14427.2581,0,0,15.038,3.7173,4,155,882,-100,-264,0,-39,368,344.4786,59.8374,7,32,19,3.0894,0,160,0,-1,FAST,NORMAL,2.05,5733,0,0,11,1050.5115,27589.0029,0,24533.9783,21076.6691,27589.0029,73199.6503,12.782,13.3527,15.1513,19.5878,176,63,80,90,19,4,0,-350,40,517,0,0,https://wynnbuilder.github.io/builder/#CW0bu0OJeJ4yQWjHiDI15EGYipKmbtFZFFD6-aD0
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,non_crafted,family_unclassified,[],upper_quartile_proxy,15935,14916.4866,14427.2581,0,0,15.038,3.7173,4.15,155,926.1,-100,-257.4,0,-32,483,452.1282,78.5366,21,46,24,3.9024,0,160,0,-1,FAST,NORMAL,2.05,7524,0,0,11,1397.4022,32943.951,0,29131.7132,25014.1759,32943.951,87089.8401,11.8467,13.3527,13.842,19.5878,176,63,80,90,19,4,0,-297,53,680,0,0,https://wynnbuilder.github.io/builder/#CW0bu0OJeJ4yQWjHiDI15EGYipKmbtFZFFD6-aD0
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,non_crafted,family_unclassified,[],solver_default,15935,14916.4866,14427.2581,0,0,15.038,3.7173,4.2,155,940.8,-100,-255.2,0,-31,529,495.188,86.0163,33,58,30,4.878,0,160,0,-1,FAST,NORMAL,2.05,8240,0,0,11,1538.5767,35083.2606,0,30963.5961,26588.2258,35083.2606,92635.0825,10.9115,12.3527,12.7197,18.5878,176,63,80,90,19,4,0,-276,58,744,0,0,https://wynnbuilder.github.io/builder/#CW0bu0OJeJ4yQWjHiDI15EGYipKmbtFZFFD6-aD0
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,non_crafted,family_unclassified,[],maximum,15935,14916.4866,14427.2581,0,0,15.038,3.7173,4.3,155,970.2,-100,-250.8,0,-27,598,559.7778,97.2358,33,58,30,4.878,0,160,0,-1,FAST,NORMAL,2.05,9315,0,0,11,1757.384,38350.9212,0,33751.7966,28975.1981,38350.9212,101077.9159,10.9115,12.3527,12.7197,18.5878,176,63,80,90,19,4,0,-245,65,840,0,0,https://wynnbuilder.github.io/builder/#CW0bu0OJeJ4yQWjHiDI15EGYipKmbtFZFFD6-aD0
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_hybrid,"[""family_hybrid""]",median,15785,12142.3077,12142.3077,-209.3,-161,0,0,50,192.5,-100,-100,-300,-182,-15,550,423.0769,42.6357,0,25,16,1.2403,0,100,-3,0,SUPER_FAST,SUPER_FAST,4.3,0,0,0,6,11981.7992,138869.1221,0,33523.0813,47839.9824,138869.1221,220232.1858,23,15,46,25,170,100,152,-3,-76,-566,79,2043,39,836,0,0,https://wynnbuilder.github.io/builder/#CW0cVAwCufe3dWYwZlcYwZfHCD266M1GdcDSM7qI830qFwzFuXx9S8
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_hybrid,"[""family_hybrid""]",upper_quartile_proxy,15785,12142.3077,12142.3077,-177.1,-136.2308,0,0,50,192.5,-100,-100,-300,-154,-15,806,620,62.4806,0,25,21,1.6279,0,100,4,0,SUPER_FAST,SUPER_FAST,4.3,0,0,0,6,14207.3837,152823.0316,0,36772.1976,52700.4893,152823.0316,242295.7185,22,15,46,25,170,100,152,-3,-76,-566,109,2468,43,1018,0,0,https://wynnbuilder.github.io/builder/#CW0cVAwCufe3dWYwZlcYwZfHCD266M1GdcDSM7qI830qFwzFuXx9S8
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_hybrid,"[""family_hybrid""]",solver_default,15785,12142.3077,12142.3077,-165.6,-127.3846,0,0,50,192.5,-100,-100,-300,-144,-15,907,697.6923,70.3101,0,25,26,2.0155,0,100,7,0,SUPER_FAST,SUPER_FAST,4.3,0,0,0,6,15067.2971,158342.7536,0,38065.2601,54619.8646,158342.7536,251027.8783,21,15,46,25,170,100,152,-3,-76,-566,118,2637,44,1090,0,0,https://wynnbuilder.github.io/builder/#CW0cVAwCufe3dWYwZlcYwZfHCD266M1GdcDSM7qI830qFwzFuXx9S8
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_hybrid,"[""family_hybrid""]",maximum,15785,12142.3077,12142.3077,-147.2,-113.2308,0,0,50,192.5,-100,-100,-300,-128,-15,1060,815.3846,82.1705,0,25,26,2.0155,0,100,11,0,SUPER_FAST,SUPER_FAST,4.3,0,0,0,6,16385.1754,166338.9805,0,39931.2904,57403.6805,166338.9805,263673.9514,21,15,46,25,170,100,152,-3,-76,-566,135,2892,46,1200,0,0,https://wynnbuilder.github.io/builder/#CW0cVAwCufe3dWYwZlcYwZfHCD266M1GdcDSM7qI830qFwzFuXx9S8
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_spell_sustained,"[""family_spell_sustained""]",median,12510,9623.0769,9623.0769,-292.6,-225.0769,0,0,362.25,908.5,126,-200,-200,-266,-10,730,561.5385,477.1242,-21,4,58,37.9085,0,133,0,-12,SUPER_FAST,SUPER_SLOW,0.51,8500,0,-50,3,7247.7714,204738.8428,0,38537.726,55952.1391,204738.8428,299228.7079,16.5997,11.9095,27.7888,15.8793,182,92,152,40,-103,-580,50,1309,100,471,0,0,https://wynnbuilder.github.io/builder/#CW0o2tm9im6EfJsm1jv6E2QGG3OOG09TQsmfRGB1m-exVq7SEa30
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,non_crafted,family_spell_sustained,"[""family_spell_sustained""]",upper_quartile_proxy,12510,9623.0769,9623.0769,-244.08,-187.7538,0,0,362.25,908.5,126,-200,-200,-226,-8,958,736.9231,626.1438,-17,8,72,47.0588,0,133,0,-12,SUPER_FAST,SUPER_SLOW,0.51,8500,0,-42,3.48,8764.5296,223800.6708,0,42124.8455,61174.4406,223800.6708,327099.9569,15.1642,11.9095,27.7888,15.8793,182,92,152,40,-103,-580,50,1718,112,600,0,0,https://wynnbuilder.github.io/builder/#CW0o2tm9im6EfJsm1jv6E2QGG3OOG09TQsmfRGB1m-exVq7SEa30
