scope,group,roll_profile,build_count,metric,n,min,p10,p25,median,p75,p90,max,mean,sample_sd,mad
class,archer,median,11,total_hp,11,12510,12785,13450.5,15785,17172.5,18385,22735,15764.7273,3097.1272,2550
class,archer,median,11,ehp,11,9623.0769,12142.3077,13615.9356,20692.7247,34241.3291,39732.1074,52103.2128,25370.5543,13618.4008,8550.417
class,archer,median,11,ehp_no_agi,11,9623.0769,9834.6154,11689.6121,14427.2581,21614.9291,39732.1074,50387.6073,19885.7851,13348.797,4592.6427
class,archer,median,11,hpr,11,-759.9,-343.2,-280.8,0,178.055,612.72,851.81,-4.8509,454.0311,269
class,archer,median,11,ehpr,11,-1513.5866,-493.3973,-216,0,335.4421,1327.7697,1952.1459,122.8015,911.2079,245.4192
class,archer,median,11,ls,11,-550,-282,-75,168,448,550,730,153.4545,391.1011,318
class,archer,median,11,effective_ls,11,-811.1324,-325.0513,-108.4615,344.4786,492.3077,759.0727,812.4625,174.938,496.5139,344.4786
class,archer,median,11,mr,11,-21,-10,-6,7,24.5,30,34,8.3636,18.5271,16
class,archer,median,11,total_mr,11,4,15,19,32,49.5,55,59,33.3636,18.5271,16
class,archer,median,11,ms,11,-20,-12,0,16,22,39,58,14.1818,22.2568,16
class,archer,median,11,mana_per_hit,11,-13.0719,-1.9512,0,1.5504,11.7647,25.4902,37.9085,7.0714,14.2566,3.5016
class,archer,median,11,total_mana,11,87,100,134.5,146,200,201,279,162.2727,54.5034,46
class,archer,median,11,walk_speed,11,-42,-33,-30.5,-3,0,22,167,2.7273,57.805,25
class,archer,median,11,attack_tier,11,-67,-15,-9.5,-3,-0.5,0,2,-9.9091,19.6492,3
class,archer,median,11,attacks_per_second,11,0.51,0.51,0.51,0.51,2.05,4.3,4.3,1.4791,1.5212,0
class,archer,median,11,poison,11,0,0,0,0,0,5733,8500,1293.9091,2944.5047,0
class,archer,median,11,main_attack_range_pct,11,-50,-24,-14,0,0,0,22,-7.2727,18.5531,0
class,archer,median,11,main_attack_range_blocks,11,3,5.52,6.66,8.8,11,11,11,8.5455,2.7948,2.2
class,archer,median,11,main_attack_dps,11,1050.5115,1667.6849,3132.6443,4675.8474,7938.3259,10232.443,11981.7992,5696.6491,3557.7229,2571.924
class,archer,median,11,spell_display_avg_max,11,21795.3879,23106.0936,26823.0655,31907.538,95063.3497,138869.1221,204738.8428,66164.2957,60715.3005,8801.4444
class,archer,median,11,spell_display_avg_sum,11,49147.6429,57159.3229,64993.8934,76709.8692,141941.2585,220232.1858,299228.7079,115651.1171,79934.7615,19550.5463
class,archer,median,11,heal_pct,11,-60,-18,0,0,0,0,0,-7.0909,18.36,0
class,archer,median,11,skill_points_assigned,11,148,158,173,182,192.5,195,196,179.3636,15.5645,11
family,family_unclassified,median,36,total_hp,36,6585,10872.5,12930,14011.5,16491.25,19685,22735,14774.1389,3716.8906,1675
family,family_unclassified,median,36,ehp,36,9894.8535,12684.9511,16789.7901,25219.5394,36765.6633,52412.4121,61133.1553,28846.4237,14424.3998,10338.6858
family,family_unclassified,median,36,ehp_no_agi,36,6611.4932,11445.5416,13961.6865,17234.2702,23884.0761,51554.6093,61133.1553,22987.7149,15065.6886,4748.2899
family,family_unclassified,median,36,hpr,36,-992.5,-590.99,-352.155,0,139.2525,339.35,851.81,-79.215,402.2782,247.5
family,family_unclassified,median,36,ehpr,36,-3246.9749,-1086.7821,-503.678,0,352.9238,598.5886,1952.1459,-152.1117,958.6587,376.0475
family,family_unclassified,median,36,ls,36,-900,-278,0,134,376,656,1000,142,397.8316,226
family,family_unclassified,median,36,effective_ls,36,-1527.6486,-612.7652,0,295.0178,721.5201,1239.0101,1952.0343,292.0099,733.3189,346.5
family,family_unclassified,median,36,mr,36,-33,-12.5,0,10.5,22.5,30.5,34,9.3889,17.3127,11
family,family_unclassified,median,36,total_mr,36,-8,12.5,25,35.5,47.5,55.5,59,34.3889,17.3127,11
family,family_unclassified,median,36,ms,36,-32,-12,0,12,19.5,27,61,10.2778,18.881,12
family,family_unclassified,median,36,mana_per_hit,36,-13.0719,-6.8627,0,1.7756,10.7876,16.0131,25.4902,4.0022,8.7933,3.2163
family,family_unclassified,median,36,total_mana,36,92,100,141.5,158,199.5,207.5,279,164.9444,43.0315,36.5
family,family_unclassified,median,36,walk_speed,36,-86,-43,-33,-14.5,2.25,49,179,-4.3889,46.6704,18.5
family,family_unclassified,median,36,attack_tier,36,-67,-7.5,-3.25,0,0,0,16,-3.4722,11.814,0.5
family,family_unclassified,median,36,attacks_per_second,36,0.51,0.51,0.51,0.83,2.05,3.1,4.3,1.3975,1.1276,0.32
family,family_unclassified,median,36,poison,36,-12000,0,0,0,0,25,20191,167.0556,4610.123,0
family,family_unclassified,median,36,main_attack_range_pct,36,-50,-20,0,0,0,0,101,-2,21.224,0
family,family_unclassified,median,36,main_attack_range_blocks,32,0.8,1,1.85,4,11,24.9005,32.25,7.6742,9.5879,3
family,family_unclassified,median,36,main_attack_dps,36,0,951.7506,1455.9965,2880.9038,5049.1961,6694.1701,13241.7974,3587.0161,2804.397,1786.0976
family,family_unclassified,median,36,spell_display_avg_max,36,11399.3696,15259.7398,19872.756,26823.0655,45114.1205,80391.7061,148248.7998,39409.0844,31948.8319,9628.0049
family,family_unclassified,median,36,spell_display_avg_sum,36,25001.7245,31106.7864,35877.4226,49844.8457,84621.1936,118722.9706,233023.693,66978.3488,45482.1955,17312.3625
family,family_unclassified,median,36,heal_pct,36,-60,-25,-16,0,0,0,51,-4.8333,19.6825,0
family,family_unclassified,median,36,skill_points_assigned,36,131,150,173.5,191.5,196,198.5,200,182.1667,19.3383,6
family_class,family_unclassified:archer,median,8,total_hp,8,12909,13667.1,14021.25,15972.5,18347.5,19690,22735,16541.5,3198.7169,2171.5
family_class,family_unclassified:archer,median,8,ehp,8,12315.3846,14136.156,18815.6919,24822.7179,37397.7812,43443.439,52103.2128,28180.9658,13764.8615,10851.593
family_class,family_unclassified:archer,median,8,ehp_no_agi,8,11236.9165,11991.8442,13899.2897,17786.6215,27536.366,42928.7574,50387.6073,23392.9545,14228.6997,5577.8671
family_class,family_unclassified:archer,median,8,hpr,8,-759.9,-468.21,-287.55,83.205,295.455,684.447,851.81,56.0675,521.9649,389.305
family_class,family_unclassified:archer,median,8,ehpr,8,-1513.5866,-799.4541,-278.5416,122.7096,651.0413,1515.0826,1952.1459,217.1116,1070.0601,472.8698
family_class,family_unclassified:archer,median,8,ls,8,-550,-362.4,-183,0,218,416,528,10.25,347.6689,225
family_class,family_unclassified:archer,median,8,effective_ls,8,-811.1324,-470.8756,-243.9551,0,352.5579,491.4788,759.0727,15.905,484.8354,334.765
family_class,family_unclassified:archer,median,8,mr,8,-10,-5.1,4.5,17.5,29.25,31.2,34,15.25,16.1223,12
family_class,family_unclassified:archer,median,8,total_mr,8,15,19.9,29.5,42.5,54.25,56.2,59,40.25,16.1223,12
family_class,family_unclassified:archer,median,8,ms,8,-20,-14.4,-3,6,20.25,28.5,39,7.75,19.5137,15.5
family_class,family_unclassified:archer,median,8,mana_per_hit,8,-13.0719,-5.2874,-0.4878,1.5447,9.8039,18.6275,25.4902,4.6357,11.7694,4.8972
family_class,family_unclassified:archer,median,8,total_mana,8,136,140.9,145.25,179.5,201,224.4,279,183.125,47.5498,27.5
family_class,family_unclassified:archer,median,8,walk_speed,8,-42,-35.7,-31.5,-25,0,6.6,22,-16.75,21.8877,12.5
family_class,family_unclassified:archer,median,8,attack_tier,8,-67,-30.6,-9,-3.5,-1.75,-0.7,0,-12.375,22.5765,3
family_class,family_unclassified:archer,median,8,attacks_per_second,8,0.51,0.51,0.51,0.51,0.895,2.05,2.05,0.895,0.7129,0
family_class,family_unclassified:archer,median,8,poison,8,0,0,0,0,0,1719.9,5733,716.625,2026.9216,0
family_class,family_unclassified:archer,median,8,main_attack_range_pct,8,-24,-21.2,-11,0,0,0,0,-6.5,10.0143,0
family_class,family_unclassified:archer,median,8,main_attack_range_blocks,8,5.52,7.508,8.69,11,11,11,11,9.71,2.0187,0
family_class,family_unclassified:archer,median,8,main_attack_dps,8,1050.5115,1482.5329,2402.2162,3935.5715,5171.8855,7250.664,8628.8803,4150.1409,2534.2765,1778.199
family_class,family_unclassified:archer,median,8,spell_display_avg_max,8,21795.3879,22712.8819,25525.3544,27451.6796,32937.7624,50621.474,84671.8974,34843.0608,20642.1146,4400.7222
family_class,family_unclassified:archer,median,8,spell_display_avg_sum,8,49147.6429,54755.8189,58355.452,72216.6377,78186.0532,96110.7224,127601.6623,74552.5675,24184.4915,11930.2218
family_class,family_unclassified:archer,median,8,heal_pct,8,-60,-30.6,-4.5,0,0,0,0,-9.75,21.2586,0
family_class,family_unclassified:archer,median,8,skill_points_assigned,8,148,155,171.5,187,193.5,195.3,196,180,18.213,8.5
archetype,Sharpshooter,median,6,total_hp,6,12909,13450.5,14477.75,15972.5,17791.25,20560,22735,16661,3521.863,2196.5
