build_id,class,weapon,archetype,primary_family,metric,median,upper_quartile_proxy,maximum,upper_quartile_minus_median,maximum_minus_upper_quartile,upper_quartile_vs_median_pct,maximum_vs_upper_quartile_pct
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,ehp,14916.4866,14916.4866,14916.4866,0,0,0,0
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,ehp_no_agi,14427.2581,14427.2581,14427.2581,0,0,0,0
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,hpr,0,0,0,0,0,,
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,ls,368,483,598,115,115,31.25,23.8095
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,total_mr,32,46,58,14,12,43.75,26.087
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,ms,19,24,30,5,6,26.3158,25
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,main_attack_dps,1050.5115,1397.4022,1757.384,346.8907,359.9818,33.0211,25.7608
ubg-az-az-sharpshooter-non-crafted-1,archer,Az,Sharpshooter,family_unclassified,spell_display_avg_max,27589.0029,32943.951,38350.9212,5354.9481,5406.9702,19.4097,16.4126
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,ehp,12142.3077,12142.3077,12142.3077,0,0,0,0
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,ehp_no_agi,12142.3077,12142.3077,12142.3077,0,0,0,0
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,hpr,-209.3,-177.1,-147.2,32.2,29.9,-15.3846,-16.8831
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,ls,550,806,1060,256,254,46.5455,31.5136
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,total_mr,25,25,25,0,0,0,0
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,ms,16,21,26,5,5,31.25,23.8095
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,main_attack_dps,11981.7992,14207.3837,16385.1754,2225.5845,2177.7917,18.5747,15.3286
ubg-divzer-divzer-boltslinger-hybrid-non-crafted-1,archer,Divzer,Boltslinger,family_hybrid,spell_display_avg_max,138869.1221,152823.0316,166338.9805,13953.9095,13515.9489,10.0482,8.8442
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,ehp,9623.0769,9623.0769,9623.0769,0,0,0,0
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,ehp_no_agi,9623.0769,9623.0769,9623.0769,0,0,0,0
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,hpr,-292.6,-244.08,-199.02,48.52,45.06,-16.5824,-18.4612
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,ls,730,958,1186,228,228,31.2329,23.7996
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,total_mr,4,8,11,4,3,100,37.5
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,ms,58,72,86,14,14,24.1379,19.4444
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,main_attack_dps,7247.7714,8764.5296,10255.9955,1516.7582,1491.4659,20.9272,17.0171
ubg-divzer-divzer-spell-boltslinger-non-crafted-1,archer,Divzer,Boltslinger,family_spell_sustained,spell_display_avg_max,204738.8428,223800.6708,242829.3276,19061.828,19028.6568,9.3103,8.5025
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,ehp,28952.711,29475.2907,30000.1133,522.5797,524.8226,1.8049,1.7806
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,ehp_no_agi,15814.5036,16099.9462,16386.614,285.4426,286.6678,1.8049,1.7806
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,hpr,189.7,322.5,467.68,132.8,145.18,70.0053,45.0171
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,ls,168,221,273,53,52,31.5476,23.5294
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,total_mr,55,66,74,11,8,20,12.1212
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,ms,-12,-10,-8,2,2,-16.6667,-20
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,main_attack_dps,3618.2286,3980.451,4330.6759,362.2224,350.2249,10.011,8.7986
ubg-freedom-freedom-sharpshooter-non-crafted-1,archer,Freedom,Sharpshooter,family_unclassified,spell_display_avg_max,31907.538,35260.481,38613.424,3352.943,3352.943,10.5083,9.5091
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,ehp,36619.6725,36619.6725,36619.6725,0,0,0,0
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,ehp_no_agi,23471.1188,23471.1188,23471.1188,0,0,0,0
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,hpr,-759.9,-160.59,124.44,599.31,285.03,-78.867,-177.4893
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,ls,0,0,0,0,0,,
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,total_mr,45,51,57,6,6,13.3333,11.7647
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,ms,24,32,39,8,7,33.3333,21.875
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,main_attack_dps,4675.8474,5475.2751,6248.1357,799.4277,772.8606,17.097,14.1155
ubg-grandmother-grandmother-sharpshooter-non-crafted-1,archer,Grandmother,Sharpshooter,family_unclassified,spell_display_avg_max,27314.3563,30953.4857,34366.3781,3639.1294,3412.8924,13.3231,11.0259
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,ehp,52103.2128,54825.8262,57546.1479,2722.6134,2720.3217,5.2254,4.9618
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,ehp_no_agi,50387.6073,53020.5731,55651.3226,2632.9658,2630.7495,5.2254,4.9618
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,hpr,851.81,1387.68,1997.75,535.87,610.07,62.9096,43.9633
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,ls,0,0,0,0,0,,
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,total_mr,54,63,71,9,8,16.6667,12.6984
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,ms,0,0,0,0,0,,
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,main_attack_dps,2647.06,2909.7181,3180.6445,262.6581,270.9264,9.9226,9.3111
ubg-ignis-ignis-sharpshooter-non-crafted-1,archer,Ignis,Sharpshooter,family_unclassified,spell_display_avg_max,21795.3879,23787.0171,25843.8436,1991.6292,2056.8265,9.1378,8.6468
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,ehp,39732.1074,40681.2573,41628.2401,949.1499,946.9828,2.3889,2.3278
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,ehp_no_agi,39732.1074,40681.2573,41628.2401,949.1499,946.9828,2.3889,2.3278
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,hpr,612.72,833.75,1058.46,221.03,224.71,36.0736,26.9517
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,ls,-150,-34,80,116,114,-77.3333,-335.2941
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,total_mr,40,45,49,5,4,12.5,8.8889
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,ms,12,15,19,3,4,25,26.6667
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,main_attack_dps,8628.8803,10315.0182,12024.3318,1686.1379,1709.3136,19.5406,16.5711
ubg-labyrinth-labyrinth-trapper-non-crafted-1,archer,Labyrinth,Trapper,family_unclassified,spell_display_avg_max,26331.7747,29621.8157,33127.4374,3290.041,3505.6217,12.4946,11.8346
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,ehp,20115.427,20638.7272,21160.5896,523.3002,521.8624,2.6015,2.5286
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,ehp_no_agi,11236.9165,11529.2434,11820.7672,292.3269,291.5238,2.6015,2.5286
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,hpr,-343.2,-291.6,-240,51.6,51.6,-15.035,-17.6955
ubg-revolution-revolution-sharpshooter-non-crafted-1,archer,Revolution,Sharpshooter,family_unclassified,ls,528,693,858,165,165,31.25,23.8095
