id,source_index,name,class,weapon,families,compatibility_status,level,ap_cost,ap_cap,ap_completeness,solver_compatible,median_id_skillpoints_feasible,source_url,current_builder_url,atree_warning,local_error
nori-mage-riptide-3d6d7a3c1a7f,0,Riptide pot-healing raid oriented,Mage,Riptide,spell_sustained|support,current_functional_solver_seed,121,50,50,1,true,true,https://wynnbuilder-beta.github.io/builder/#CV013teF-Fs8vCnBbs9KJArnE4sXeW2n7HgPA+UrhgMrgMrsanicrfErgLDk303jrKZUwt7-rqwVS,https://wynnbuilder.github.io/builder/#CX013teF-Fs8vCnBbs9KJArnE4sXeW2n7HgPA+UrhgMrgMrsanicrfErgLDk303jrKZUwt7-rqwVS,,
nori-mage-riptide-2eb8e3bb7acd,1,The greedy sustaining Vacuum-cleaner for lootrun (and raids),Mage,Riptide,spell_sustained|lootrun,migrated_incomplete_atree,121,19,50,0.38,false,true,https://wynnbuilder-beta.github.io/builder/#CV013tm1QoDEB5JHuWTAbuO724GmwauZ8rCb+xLlgQLhQLRJ5pQMdwKpMsQejETqfs+vBTh-p1,https://wynnbuilder.github.io/builder/#CX013tm1QoDEB5JHuWTAbuO724GmwauZ8rCb+xLlgQLhQLRJ5pQMdwKpMsQejETqfs+vB,,
nori-mage-trance-6da753a46741,2,"Ultimate craft-amplified Trance TF built for lootrun ""spell-'caster"" Meta Demolition",Mage,Trance,spell_sustained|melee|lootrun,broken_current_atree,,48,50,0.96,false,,https://wynnbuilder-beta.github.io/builder/#CVG4ufucqlututytid81R47JS3Bd76t47nY5z8W9XD1x8A1VXJPIH2Y0c4s4iZe4y5Eb959W2AH0JoZ1sHK2sXPodY4m8lRoFQHhgLjgLjBLSiZTgJjPDJU0X0mSh-yNRk-ThrHhZQq0,https://wynnbuilder.github.io/builder/#CXG4ufucqlututytid81R47JS3Bd76t47nY5z8W9XD1x8A1VXJPIH2Y0c4s4iZe4y5Eb959W2AH0JoZ1sHK2sXPodY4m8lRoFQHhgLjgLjBLSiZTgJjPDJU0X0mSh-yNRk-ThrHhZQq0,"ATree Error!Orphion's Pulse: blocked by: ""Arcane Transfer""Resilient Light: missing dep: ""Ophanim""",decodeCraft is not defined
nori-mage-trance-e9372dd95f70,3,Trance TF Lootrun viable,Mage,Trance,melee|lootrun,broken_current_atree,121,48,50,0.96,false,true,https://wynnbuilder-beta.github.io/builder/#CV0oCt8gZ9kXbp3ZRYZOnYE60m005KGF8Zyk9-e5jgMrgMrkKnnEsfErcrCb10pj+pVjv+tjM7jEgH3,https://wynnbuilder.github.io/builder/#CX0oCt8gZ9kXbp3ZRYZOnYE60m005KGF8Zyk9-e5jgMrgMrkKnnEsfErcrCb10pj+pVjv+tjM7jEgH3,"ATree Error!Orphion's Pulse: blocked by: ""Arcane Transfer""Resilient Light: missing dep: ""Ophanim""",
nori-warrior-ascendancy-0ceb1246e7e9,4,Paladin Ascendancy,Warrior,Ascendancy,unclassified,broken_current_atree,121,14,50,0.28,false,true,https://wynnbuilder-beta.github.io//builder/#CU0XJnDJ0F1X5n66smWy4qmmTpRSvtsVWhtKqC3,https://wynnbuilder.github.io//builder/#CX0XJnDJ0F1X5n66smWy4qmmTpRSvtsVWh7,"ATree Error!Tougher Skin: blocked by: ""Vehement""War Scream: not reachableFire Mastery: not reachableBak'al's Grasp: missing dep: ""War Scream""Spear Proficiency II: not reachable... 8 errors not shown",
nori-mage-warden-eb51477dc950,5,Warden Mage Levelling,Mage,Warden,unclassified,current_functional_non_endgame,81,39,39,1,false,true,https://wynnbuilder-beta.github.io/builder/#CU0lbmh94N2jbmIFMwnS2qvWFlDuEgtpJ-Xx3,https://wynnbuilder.github.io/builder/#CX0lbmh94N2jbmIFMwnS2qvWFlDuEgtpJ-Xx3,,
nori-mage-warden-f86e83ba3eb9,6,Arcanist fake Rainbow Warden,Mage,Warden,spell_sustained,current_functional_solver_seed,121,50,50,1,true,true,https://wynnbuilder-beta.github.io/builder/#CU0m-WvGy+3CnWbHiCIlHMFYFlKwwC5eG0uzyqVu+F6,https://wynnbuilder.github.io/builder/#CX0m-WvGy+3CnWbHiCIlHMFYFlKwwC5eG0uzyqVu+F6,,
nori-shaman-cross-cut-ee1b062ba3d0,7,Acolyte Fast Hybrid Cross Cut,Shaman,Cross-Cut,hybrid,current_functional_solver_seed,121,50,50,1,true,true,https://wynnbuilder-beta.github.io/builder/#CU0oqW5GOm3rQWbHiCIlHQdm4pDEJ20UFixh-Fz0,https://wynnbuilder.github.io/builder/#CX0oqW5GOm3rQWbHiCIlHQdm4pDEJ20UFixh-Fz0,,
nori-shaman-sunstar-14d1ec696616,8,Acolyte Heavy Hybrid Sunstar,Shaman,Sunstar,hybrid,current_functional_solver_seed,121,50,50,1,true,true,https://wynnbuilder-beta.github.io/builder/#CU09DG6GmH4SQG762e066mlHkcDSg40yUOtN-Vw1,https://wynnbuilder.github.io/builder/#CX09DG6GmH4SQG762e066mlHkcDSg40yUOtN-Vw1,,
nori-shaman-scattered-psyche-ce0678631502,9,Summoner Scattered Psyche,Shaman,Scattered Psyche,spell_sustained,current_functional_builder_only,121,50,50,1,false,false,https://wynnbuilder-beta.github.io/builder/#CT0k21-CCI4mRWjHiDIhJOFYVpKu468C0e-f6+37lIH30,https://wynnbuilder.github.io/builder/#CX0k21-CCI4mRWjHiDIhJOFYVpKu468C0e-f6+37lIH30,,
