scenario	repeats	threads	leaf_budget	expected_search_space	target_checked	current_checked	prior_safe_checked	current_checked_min	current_checked_max	prior_safe_checked_min	prior_safe_checked_max	current_elapsed_s	prior_safe_elapsed_s	current_elapsed_min_s	current_elapsed_max_s	prior_safe_elapsed_min_s	prior_safe_elapsed_max_s	speedup_current_over_prior_safe	speedup_min	speedup_max	max_pair_work_delta	max_pair_work_delta_pct	current_max_overshoot	prior_safe_max_overshoot	top_scores_equal	top_score_count	valid_empty_top	current_top_score_sha256_12	first_config_pattern	generated_at_utc	git_commit	git_dirty	binary_sha256	manifest_sha256	enum_fixture_sha256	score_fixture_sha256	time_cap_seconds	order_seed	host_cpu_model	host_platform	current_sp_set_bound_mode	current_bound_memo_mode	prior_safe_sp_set_bound_mode	prior_safe_bound_memo_mode
fam_cancelstack_small	3	1	2000000	198563904	2000000	2000074	2000042	2000074	2000074	2000042	2000042	0.779000	1.637000	0.728000	0.805000	1.566000	1.750000	2.151133	2.101446	2.173948	32	0.001600	74	42	true	15	false	1019d20778d5	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	330e684bb87c1af4c3ab0d9559e659cae0efa0d2e9a063ad33ef1fc182c20b47	d13b3df1ee4d470d092d194ce5765e75a91016273160d0add90fffc3f4e13446	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_cancelstack_medium	3	1	2000000	15289420608	2000000	2000056	2000000	2000056	2000056	2000000	2000000	0.579000	1.429000	0.560000	0.583000	1.351000	1.463000	2.509504	2.333399	2.551857	56	0.002800	56	0	true	15	false	e0e92e563903	current,prior_safe,current	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	b7a09fb3a0f071ba84a1b037bd104bb474685d643c2ee4d148c49ebc71cd47b3	0b8316f52eb60134da43c5c197316c45647d9ce1811003a18d1dfa7ae0c21357	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_cancelstack_large	3	1	2000000	1024391180736	2000000	2000009	2000000	2000009	2000009	2000000	2000000	0.769000	1.621000	0.708000	0.770000	1.584000	1.701000	2.209101	2.059827	2.289558	9	0.000450	9	0	true	15	false	ad74639adbcc	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	40996a08d41633c0f47d95c1ae96c20bb3f8c57369e93ad090f405f43cff5a4b	76e3ece090e322e6e85ccc153104281f27a0f2c30bdcb16fcea7171c9f2c98d8	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_heavy_melee_small	3	1	2000000	57758022	2000000	2001243	2000013	2001243	2001243	2000013	2000013	0.482000	0.779000	0.468000	0.488000	0.736000	1.455000	1.665554	1.509124	3.020529	1230	0.061500	1243	13	true	15	false	ebf754d5f0d3	current,prior_safe,current	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	d3428e2487801d8b16890c2b703213ad2faf848dac66676f41c3dff5b77c91e2	94d8278089b264ae42ee475eb4c41b447d926513e6e075a8b6c2270b3164eb38	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_heavy_melee_medium	3	1	2000000	5371496046	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2.769000	3.283000	2.643000	2.918000	3.269000	3.456000	1.236852	1.125086	1.248104	0	0.000000	0	0	true	15	false	7fe0dd7b2d55	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	85692d8f8f3b7aed569f3bb12843f222d56b25c095a5801c335d5378e62d9efc	63bf78870ab5f45fee89cb55fd4993b13c6fad7060beaf5d2c84c2a96b9fde3d	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_heavy_melee_large	3	1	2000000	290060786484	2000000	2000091	2000000	2000091	2000091	2000000	2000000	5.222000	6.141000	5.210000	5.366000	6.075000	6.152000	1.166080	1.144480	1.178146	91	0.004550	91	0	true	15	false	23a51624b91a	current,prior_safe,current	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	539b906ae65bc2611029c49d06dba5954e206354f8ffc6cebab961e0175f29e0	60d8d797395609e6e4a6d960013fd2efdee148fe65d8d76943a3287c04c332bb	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_tierstack_small	3	1	2000000	54521040	2000000	2000563	2000563	2000563	2000563	2000563	2000563	0.300000	0.395000	0.278000	0.306000	0.365000	0.438000	1.316667	1.192810	1.575540	0	0.000000	563	563	true	15	false	ab1341dccc39	current,prior_safe,current	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	48c8c6d4d9573896e183fd9f6cd9602a17a8876bd9b83140b3adbda2112ed82c	984da5bc8ce0b5ab2b9219c4fdeb472991cfe98c1e1a30d7351f90c5cbc6248c	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_tierstack_medium	3	1	2000000	2562488880	2000000	2000136	2000136	2000136	2000136	2000136	2000136	0.462000	0.507000	0.429000	0.472000	0.491000	0.512000	1.108225	1.074153	1.144522	0	0.000000	136	136	true	15	false	6f02f5965ae9	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	325252c9d0c40de4b7254dd59fdbb2ab8c23cfe2c034101a319bbe9a1fa8e500	2f3b27db4da34e2a3fa8c5fa87d115d1f72b084ea2645298cfb3afe3d5d38175	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_tierstack_large	3	1	2000000	61499733120	2000000	2000192	2000192	2000192	2000192	2000192	2000192	0.953000	1.076000	0.948000	0.979000	1.061000	1.146000	1.129066	1.083759	1.208861	0	0.000000	192	192	true	15	false	16c060407070	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	e106c91f198c2ec8f477e54ebea54aabe8df01ac54455f1665bbe5b46ea36fa2	aaf38930b66c62269fb7b02db0544f4cdef9da4cbd6dfb1c925aa605b8a82140	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
fam_spellsteal_small	3	1	2000000	54521040	2000000	2000071	2000015	2000071	2000071	2000015	2000015	1.284000	1.487000	1.254000	1.379000	1.446000	2.030000	1.126200	1.078348	1.618865	56	0.002800	71	15	true	15	false	8f2959ee70a8	prior_safe,current,prior_safe	2026-08-14T23:15:57.007670+00:00	af650ebcdc9d1a7972a46977725737cfd6db45e4	false	691c59795a4b5b66921997d98a5f29d78b68025a927a5e8501c161853ce683fa	bbff324b96f63201ce5c8b9f68314fac57b95b3e18b33acc847597d48afeac39	8a387111aa657007911aebe6ab8732b6d557524e245e9d3acf7f3d4b9ff5b284	2f3657ed2238cb49cac2a81d5d03d61a1940db18a59b233cd516f9bee67ff761	120	20260815	INTEL(R) XEON(R) PLATINUM 8573C	Linux-6.18.35-x86_64-with-glibc2.39	reachable	auto	bypass	on
